(0, 88204.915405193504),
 (1, 88252.33985496423),
 (2, 88299.447659548139),
 (3, 88346.097495549024),
 (4, 88392.258543798438),
 (5, 88437.935626384875),
 (6, 88483.128488387418),
 (7, 88527.835485936594),
 (8, 88572.067785199979),
 (9, 88615.82661544405),
 (10, 88659.110980345649),
 (11, 88701.932361923624),
 (12, 88744.292400169172),
 (13, 88786.190543781442),
 (14, 88827.638388316176),
 (15, 88868.638102225726),
 (16, 88909.189789133889),
 (17, 88949.304987129872),
 (18, 88988.986351428292),
 (19, 89028.220022029287),
 (20, 89067.016193660806),
 (21, 89105.386829015668),
 (22, 89143.332523843914),
 (23, 89180.868532968932),
 (24, 89217.998570207987),
 (25, 89254.726596611261),
 (26, 89291.065467331937),
 (27, 89327.017079545913),
 (28, 89362.583035026997),
 (29, 89397.723919263808),
 (30, 89430.798667800773),
 (31, 89446.079159184927),
 (32, 89416.571370609425),
 (33, 89372.980306883677),
 (34, 89329.051248658958),
 (35, 89284.789863336773),
 (36, 89240.052102508955),
 (37, 89194.996545998496),
 (38, 89149.651471340461),
 (39, 89104.019211818231),
 (40, 89058.113501717497),
 (41, 89011.854081828104),
 (42, 88965.297196229221),
 (43, 88918.507585813),
 (44, 88871.501600441581),
 (45, 88824.285321292147),
 (46, 88776.875334390352),
 (47, 88729.288443438738),
 (48, 88681.497143361485),
 (49, 88632.856701089098),
 (50, 88582.812885036838),
 (51, 88531.391741040527),
 (52, 88478.668542884814),
 (53, 88424.719191133336),
 (54, 88369.617995790206),
 (55, 88313.435130563535),
 (56, 88256.2357897646),
 (57, 88198.081084253528),
 (58, 88139.02667888398),
 (59, 88079.117764967421)
